customer_id,attrition_risk_proxy,risk_score,risk_category
CUST00210,Low,0.471545718,Medium
CUST00211,Low,0.223092031,Low
CUST00212,Low,0.193109074,Low
CUST00213,Low,0.753387864,High
CUST00214,Low,0.492474317,Medium
CUST00215,High,0.555917071,Medium
CUST00216,High,0.926779547,High
CUST00217,Medium,0.366785061,Medium
CUST00218,High,0.671795962,High
CUST00219,Low,0.184905543,Low
CUST00220,High,0.609152763,Medium
CUST00221,Low,0.196989629,Low
CUST00222,Medium,0.357687823,Medium
CUST00223,Medium,0.506206824,Medium
CUST00224,Medium,0.588788316,Medium
CUST00225,Low,0.227638327,Low
CUST00226,Low,0.229010346,Low
CUST00227,Low,0.319289766,Low
CUST00228,Medium,0.411448863,Medium
CUST00229,High,0.915737245,High
CUST00230,High,0.522484298,Medium
CUST00231,High,0.790332634,High
CUST00232,Low,0.186039863,Low
CUST00233,High,0.437593666,Medium
CUST00234,High,0.556159063,Medium
CUST00235,Low,0.318754528,Low
CUST00236,High,0.686750694,High
CUST00237,Medium,0.252054207,Low
CUST00238,Low,0.515058926,Medium
CUST00239,Medium,0.495847379,Medium
CUST00240,Low,0.193098238,Low
CUST00241,Medium,0.207892333,Low
CUST00242,Medium,0.552970372,Medium
CUST00243,Medium,0.573704744,Medium
CUST00244,Medium,0.387738163,Medium
CUST00245,Low,0.227319889,Low
CUST00246,High,0.475282666,Medium
CUST00247,High,0.628417161,Medium
CUST00248,High,0.523828736,Medium
CUST00249,Medium,0.421533419,Medium
CUST00250,Low,0.351992144,Medium
CUST00251,Low,0.228253654,Low
CUST00252,Low,0.443377122,Medium
CUST00253,High,0.650461096,Medium
CUST00254,Medium,0.320559585,Low
CUST00255,Low,0.155740792,Low
CUST00256,Medium,0.403622019,Medium
CUST00257,Low,0.221297239,Low
CUST00258,Low,0.199566398,Low
CUST00259,High,0.380722474,Medium
CUST00260,High,0.822721768,High
CUST00261,Medium,0.470212875,Medium
CUST00262,Low,0.283164616,Low
CUST00263,Low,0.155362176,Low
CUST00264,Low,0.682554971,High
CUST00265,Low,0.336546323,Medium
CUST00266,Low,0.657470632,Medium
CUST00267,Medium,0.698718979,High
CUST00268,Low,0.366330185,Medium
CUST00269,High,0.748608708,High
CUST00270,Low,0.238404638,Low
CUST00271,High,0.518955846,Medium
CUST00272,Low,0.182361203,Low
CUST00273,Low,0.134643315,Low
CUST00274,Medium,0.355572082,Medium
CUST00275,Medium,0.401097131,Medium
CUST00276,Medium,0.447431108,Medium
CUST00277,Medium,0.338092414,Medium
CUST00278,Low,0.363609542,Medium
CUST00279,High,0.899001093,High
CUST00280,High,0.913357479,High
CUST00281,Medium,0.364683871,Medium
CUST00282,High,0.343000839,Medium
CUST00283,Low,0.24359322,Low
CUST00284,Medium,0.227608143,Low
CUST00285,Low,0.214749497,Low
CUST00286,Medium,0.223734793,Low
CUST00287,Low,0.416923906,Medium
CUST00288,Medium,0.172423988,Low
CUST00289,High,0.699404303,High
CUST00290,Medium,0.591810206,Medium
CUST00291,Low,0.214619846,Low
CUST00292,Low,0.43533632,Medium
CUST00293,Low,0.305708013,Low
CUST00294,Medium,0.414094203,Medium
CUST00295,High,0.738342957,High
CUST00296,Low,0.293341878,Low
CUST00297,Medium,0.38073482,Medium
CUST00298,Medium,0.178730327,Low
CUST00299,Low,0.196776348,Low
CUST00300,High,0.787319964,High
CUST00301,Medium,0.276121693,Low
CUST00302,Low,0.216987359,Low
CUST00303,Low,0.594375419,Medium
CUST00304,Medium,0.656198791,Medium
CUST00305,Low,0.293506555,Low
CUST00306,Low,0.170473056,Low
CUST00307,Medium,0.358294563,Medium
CUST00308,Low,0.429908431,Medium
CUST00309,Low,0.365613957,Medium
CUST00310,Low,0.4347395,Medium
CUST00311,Low,0.629311319,Medium
CUST00312,Low,0.249898727,Low
CUST00313,Low,0.335427435,Medium
CUST00314,Low,0.340016883,Medium
CUST00315,Low,0.220152325,Low
CUST00316,Medium,0.278714843,Low
CUST00317,Low,0.167888967,Low
CUST00318,Low,0.342350084,Medium
CUST00319,High,0.403192025,Medium
CUST00320,Low,0.203869704,Low
CUST00321,Low,0.302477375,Low
CUST00322,High,0.462520559,Medium
CUST00323,Low,0.567142918,Medium
CUST00324,High,0.911979381,High
CUST00325,Low,0.306951932,Low
CUST00326,Low,0.496314321,Medium
CUST00327,Medium,0.665134203,High
CUST00328,Low,0.15199511,Low
CUST00329,Low,0.259992899,Low
CUST00330,Medium,0.19058647,Low
CUST00331,High,0.652100589,Medium
CUST00332,Low,0.173801688,Low
CUST00333,Low,0.436930933,Medium
CUST00334,Low,0.157357173,Low
CUST00335,Medium,0.723292798,High
CUST00336,Medium,0.333844948,Medium
CUST00337,High,0.378291095,Medium
CUST00338,Low,0.282499214,Low
CUST00339,High,0.605718277,Medium
CUST00340,High,0.666478495,High
CUST00341,Low,0.240553,Low
CUST00342,Low,0.248557334,Low
CUST00343,Medium,0.650650234,Medium
CUST00344,Low,0.371174675,Medium
CUST00345,Medium,0.4311297,Medium
CUST00346,Low,0.182431768,Low
CUST00347,Low,0.329215831,Low
CUST00348,High,0.909580828,High
CUST00349,High,0.88410208,High
CUST00350,High,0.820302581,High
CUST00351,Low,0.36100719,Medium
CUST00352,High,0.667908598,High
CUST00353,High,0.698348302,High
CUST00354,High,0.705975047,High
CUST00355,Medium,0.468866721,Medium
CUST00356,Medium,0.465593212,Medium
CUST00357,Medium,0.560524944,Medium
CUST00358,High,0.761849809,High
CUST00359,Low,0.241402069,Low
CUST00360,Low,0.503226974,Medium
CUST00361,Low,0.169095803,Low
CUST00362,Low,0.292748218,Low
CUST00363,High,0.43426028,Medium
CUST00364,Low,0.284556621,Low
CUST00365,Low,0.622123632,Medium
CUST00366,Low,0.240670978,Low
CUST00367,Medium,0.279021569,Low
CUST00368,High,0.776757007,High
CUST00369,Low,0.272357113,Low
CUST00370,High,0.722236953,High
CUST00372,Medium,0.18055218,Low
CUST00373,Medium,0.538214636,Medium
CUST00374,Low,0.211281476,Low
CUST00375,Low,0.165633041,Low
CUST00376,Low,0.527268728,Medium
CUST00377,Low,0.210094656,Low
CUST00378,Low,0.221484142,Low
CUST00379,Low,0.515428009,Medium
CUST00380,Low,0.207575619,Low
CUST00381,Low,0.127024301,Low
CUST00382,Low,0.470193385,Medium
CUST00383,High,0.641813453,Medium
CUST00384,Low,0.175489619,Low
CUST00385,Medium,0.25401876,Low
CUST00386,Low,0.203520089,Low
CUST00387,Low,0.418427543,Medium
CUST00388,Low,0.214837148,Low
CUST00389,High,0.416044673,Medium
CUST00390,Medium,0.391541105,Medium
CUST00393,Medium,0.456134071,Medium
CUST00394,High,0.815677169,High
CUST00395,High,0.412426167,Medium
CUST00396,High,0.878061314,High
CUST00397,High,0.675365739,High
CUST00398,Low,0.49128663,Medium
CUST00399,Low,0.298572605,Low
CUST00400,Medium,0.465212176,Medium
CUST00401,High,0.848953942,High
CUST00402,Medium,0.48263414,Medium
CUST00403,Low,0.351197783,Medium
CUST00404,High,0.778090937,High
CUST00405,Medium,0.289299284,Low
CUST00406,Medium,0.194044087,Low
CUST00407,Medium,0.205677604,Low
CUST00408,Low,0.243838386,Low
CUST00409,High,0.813950683,High
CUST00410,High,0.566967759,Medium
CUST00411,High,0.720912298,High
CUST00412,Low,0.177301153,Low
CUST00413,High,0.668510726,High
CUST00414,Low,0.187065475,Low
CUST00415,Low,0.255951155,Low
CUST00416,Low,0.509550319,Medium
CUST00417,Low,0.413653634,Medium
CUST00418,High,0.29403435,Low
CUST00419,Medium,0.513226171,Medium
CUST00420,Low,0.265025828,Low
CUST00421,High,0.830244593,High
CUST00422,Medium,0.363762877,Medium
CUST00423,Low,0.404084355,Medium
CUST00424,High,0.643354806,Medium
CUST00425,Medium,0.249332013,Low
CUST00426,Low,0.287264103,Low
CUST00427,Medium,0.506526304,Medium
CUST00428,Low,0.227886761,Low
CUST00429,Medium,0.47903981,Medium
CUST00430,Low,0.647829779,Medium
CUST00431,High,0.717500825,High
CUST00432,Low,0.158458852,Low
CUST00433,High,0.876163235,High
CUST00434,High,0.266027431,Low
CUST00435,Low,0.308464357,Low
CUST00437,Low,0.341731447,Medium
CUST00438,Medium,0.19736477,Low
CUST00439,High,0.607867619,Medium
CUST00440,Medium,0.481677574,Medium
CUST00441,Low,0.185045005,Low
CUST00442,Medium,0.49722611,Medium
CUST00443,High,0.677295176,High
CUST00444,Medium,0.363200959,Medium
CUST00445,Low,0.199934733,Low
CUST00446,Low,0.310776392,Low
CUST00447,High,0.657659685,Medium
CUST00448,Low,0.315194942,Low
CUST00449,Medium,0.245278104,Low
CUST00450,Medium,0.398849811,Medium
CUST00451,Low,0.495771723,Medium
CUST00452,Low,0.131931596,Low
CUST00453,Low,0.562675083,Medium
CUST00454,High,0.503753648,Medium
CUST00455,High,0.792002673,High
CUST00456,Low,0.228029188,Low
CUST00457,High,0.792045856,High
CUST00458,Medium,0.668140171,High
CUST00459,High,0.816313074,High
CUST00460,Low,0.296732457,Low
CUST00461,Low,0.206985555,Low
CUST00462,Low,0.297320928,Low
CUST00463,Medium,0.229161613,Low
CUST00464,Low,0.648064832,Medium
CUST00465,High,0.71966221,High
CUST00466,High,0.893819716,High
CUST00467,High,0.675538973,High
CUST00468,Medium,0.181184319,Low
CUST00469,Medium,0.236416414,Low
CUST00470,High,0.83309634,High
CUST00471,Medium,0.275814314,Low
CUST00472,Low,0.233864259,Low
CUST00473,Medium,0.737316745,High
CUST00474,Medium,0.279783754,Low
CUST00475,Medium,0.362014434,Medium
CUST00476,Low,0.393202769,Medium
CUST00477,Medium,0.261482719,Low
CUST00478,High,0.724418767,High
CUST00479,Low,0.547346581,Medium
CUST00480,High,0.396659728,Medium
CUST00481,High,0.862256271,High
CUST00482,Low,0.274227695,Low
CUST00483,High,0.644168395,Medium
CUST00484,Medium,0.552587056,Medium
CUST00485,Medium,0.23202407,Low
CUST00486,High,0.691911541,High
CUST00487,Low,0.248812217,Low
CUST00488,High,0.701560639,High
CUST00489,High,0.478943162,Medium
CUST00490,Low,0.301759837,Low
CUST00491,Medium,0.319476569,Low
CUST00492,Low,0.152454237,Low
CUST00493,Medium,0.200482249,Low
CUST00494,Medium,0.504528692,Medium
CUST00495,Medium,0.25295286,Low
CUST00496,Low,0.32577511,Low
CUST00497,Low,0.180271424,Low
CUST00498,Low,0.357593523,Medium
CUST00499,High,0.736884072,High
CUST00500,Medium,0.450306711,Medium
CUST00501,Low,0.36308582,Medium
CUST00502,Low,0.474562644,Medium
CUST00503,Medium,0.679944635,High
CUST00504,High,0.465017617,Medium
CUST00505,Medium,0.405454468,Medium
CUST00506,High,0.928267764,High
CUST00507,High,0.743833578,High
CUST00508,Medium,0.281735672,Low
CUST00509,Low,0.198118519,Low
CUST00510,Low,0.174880049,Low
CUST00511,Low,0.290647665,Low
CUST00512,Low,0.382496077,Medium
CUST00513,High,0.314463477,Low
CUST00514,Medium,0.344602852,Medium
CUST00515,Low,0.183551249,Low
CUST00516,Medium,0.554169301,Medium
CUST00517,High,0.711028552,High
CUST00518,High,0.734786198,High
CUST00519,Low,0.202819616,Low
CUST00520,Low,0.411611395,Medium
CUST00521,High,0.801338833,High
CUST00522,Low,0.189407935,Low
CUST00523,High,0.750800908,High
CUST00524,Low,0.236874767,Low
CUST00525,High,0.672275792,High
CUST00526,Low,0.2193275,Low
CUST00527,High,0.567182959,Medium
CUST00528,High,0.55215391,Medium
CUST00529,Low,0.179389889,Low
CUST00530,Medium,0.240029402,Low
CUST00531,High,0.609541996,Medium
CUST00532,Low,0.432986681,Medium
CUST00533,Medium,0.433907856,Medium
CUST00534,High,0.564664846,Medium
CUST00535,High,0.64195656,Medium
CUST00536,High,0.686643501,High
CUST00537,Low,0.206878608,Low
CUST00538,Medium,0.436544747,Medium
CUST00539,Low,0.249197862,Low
CUST00540,Medium,0.359104793,Medium
CUST00541,Low,0.361465971,Medium
CUST00542,High,0.718932606,High
CUST00543,Low,0.13250805,Low
CUST00544,High,0.562538092,Medium
CUST00545,Low,0.611904922,Medium
CUST00546,Medium,0.684898566,High
CUST00547,High,0.884890487,High
CUST00548,Low,0.199895433,Low
CUST00549,High,0.883257476,High
CUST00550,High,0.757202916,High
CUST00551,Low,0.255025473,Low
CUST00552,Low,0.171363274,Low
CUST00553,Low,0.265935442,Low
CUST00554,Low,0.271826613,Low
CUST00555,Low,0.188755419,Low
CUST00556,High,0.775850429,High
CUST00557,Medium,0.349420407,Medium
CUST00558,Low,0.301163559,Low
CUST00559,Low,0.332803411,Medium
CUST00560,Low,0.210356636,Low
CUST00561,Low,0.296739157,Low
CUST00562,Medium,0.43670288,Medium
CUST00563,Medium,0.278731152,Low
CUST00564,Low,0.155901141,Low
CUST00565,High,0.707374317,High
CUST00566,Low,0.544327625,Medium
CUST00567,Medium,0.19565498,Low
CUST00568,Low,0.255319824,Low
CUST00569,High,0.612350238,Medium
CUST00570,Low,0.249307934,Low
CUST00571,Medium,0.264389051,Low
CUST00572,High,0.445102939,Medium
CUST00573,High,0.349029107,Medium
CUST00574,Medium,0.225270955,Low
CUST00575,High,0.700253876,High
CUST00576,Low,0.280852357,Low
CUST00577,Low,0.392436195,Medium
CUST00578,Medium,0.23244488,Low
CUST00579,Medium,0.201459227,Low
CUST00580,Low,0.142855081,Low
CUST00581,Medium,0.573352119,Medium
CUST00582,Medium,0.403514855,Medium
CUST00583,Low,0.447775953,Medium
CUST00584,Low,0.31185915,Low
CUST00585,High,0.376366061,Medium
CUST00586,High,0.623395928,Medium
CUST00587,Medium,0.397858745,Medium
CUST00588,High,0.725433699,High
CUST00589,Medium,0.621446275,Medium
CUST00590,Medium,0.235446666,Low
CUST00591,Low,0.315781675,Low
CUST00592,Medium,0.310696988,Low
CUST00593,Low,0.208428765,Low
CUST00594,High,0.691513984,High
CUST00595,High,0.858941538,High
CUST00596,Low,0.448829773,Medium
CUST00597,Medium,0.564125465,Medium
CUST00598,Medium,0.334127291,Medium
CUST00599,Low,0.141653415,Low
CUST00600,Low,0.433353217,Medium
CUST00601,High,0.341089387,Medium
CUST00602,High,0.695072559,High
CUST00603,Low,0.447427342,Medium
CUST00604,Low,0.302041718,Low
CUST00605,Medium,0.567488262,Medium
CUST00607,Low,0.236524242,Low
CUST00608,Medium,0.530014439,Medium
CUST00609,Low,0.436701373,Medium
CUST00610,Medium,0.369403529,Medium
CUST00611,Low,0.209014962,Low
CUST00612,Low,0.485308324,Medium
CUST00613,Medium,0.552089324,Medium
CUST00614,Low,0.309025766,Low
CUST00615,High,0.609778232,Medium
CUST00616,High,0.804047949,High
CUST00617,Low,0.334143449,Medium
CUST00618,High,0.694149627,High
CUST00619,Low,0.369047611,Medium
CUST00620,High,0.910635069,High
CUST00621,Low,0.419777244,Medium
CUST00622,Medium,0.423250344,Medium
CUST00623,Low,0.399317185,Medium
CUST00624,Low,0.262738008,Low
CUST00625,Medium,0.611884956,Medium
CUST00626,Low,0.281022711,Low
CUST00627,Low,0.543890537,Medium
CUST00628,Low,0.219058259,Low
CUST00629,High,0.415695473,Medium
CUST00630,Medium,0.572152908,Medium
CUST00631,Low,0.146078333,Low
CUST00632,Low,0.139381296,Low
CUST00633,High,0.839132573,High
CUST00634,Medium,0.208695689,Low
CUST00635,High,0.331977553,Medium
CUST00636,High,0.357967886,Medium
CUST00637,High,0.309438151,Low
CUST00638,Low,0.248052154,Low
CUST00639,Low,0.22068675,Low
CUST00640,High,0.928265758,High
CUST00641,Medium,0.241393862,Low
CUST00642,Low,0.37994271,Medium
CUST00643,High,0.867588822,High
CUST00644,High,0.855217002,High
CUST00645,Medium,0.466907022,Medium
CUST00646,Low,0.268853278,Low
CUST00647,High,0.586210017,Medium
CUST00648,High,0.779364186,High
CUST00649,Low,0.363825738,Medium
CUST00650,Low,0.235262059,Low
CUST00651,Medium,0.188045142,Low
CUST00652,High,0.504260102,Medium
CUST00653,Low,0.220321115,Low
CUST00654,Low,0.158664136,Low
CUST00655,Low,0.25623503,Low
CUST00656,High,0.482463833,Medium
CUST00657,High,0.647290612,Medium
CUST00658,High,0.827545657,High
CUST00659,Low,0.378400224,Medium
CUST00660,High,0.816870817,High
CUST00661,High,0.613788806,Medium
CUST00662,Medium,0.449546012,Medium
CUST00663,Low,0.253947455,Low
CUST00664,Medium,0.536074129,Medium
CUST00665,Medium,0.279620276,Low
CUST00666,Low,0.289926401,Low
CUST00667,Low,0.273589974,Low
CUST00668,Medium,0.31202751,Low
CUST00669,Medium,0.719383855,High
CUST00670,Low,0.73934491,High
CUST00671,Low,0.291746803,Low
CUST00672,Low,0.320561904,Low
CUST00673,Low,0.539491863,Medium
CUST00674,Low,0.157676504,Low
CUST00675,Medium,0.582007013,Medium
CUST00676,Medium,0.629817866,Medium
CUST00677,Low,0.271178017,Low
CUST00678,Low,0.451790695,Medium
CUST00679,Low,0.403825319,Medium
CUST00680,Medium,0.274599667,Low
CUST00681,Medium,0.295463763,Low
CUST00682,High,0.615160129,Medium
CUST00683,Low,0.342026578,Medium
CUST00684,Medium,0.242943044,Low
CUST00685,Medium,0.501789986,Medium
CUST00686,Low,0.176127678,Low
CUST00687,Low,0.1863934,Low
CUST00688,Medium,0.388680564,Medium
CUST00689,Low,0.170059899,Low
CUST00690,Low,0.207371262,Low
CUST00691,Low,0.374944741,Medium
CUST00692,Medium,0.53521369,Medium
CUST00693,Medium,0.307123072,Low
CUST00694,Medium,0.170174178,Low
CUST00695,High,0.682150484,High
CUST00696,High,0.917390533,High
CUST00697,Medium,0.175447431,Low
CUST00699,Low,0.234750874,Low
CUST00700,Low,0.179477233,Low
CUST00701,Low,0.170467678,Low
CUST00702,Low,0.723868852,High
CUST00703,High,0.631167699,Medium
CUST00704,Medium,0.383374357,Medium
CUST00705,Low,0.251015226,Low
CUST00706,Medium,0.182346027,Low
CUST00707,Low,0.226378941,Low
CUST00708,Low,0.210765832,Low
CUST00709,Low,0.428812389,Medium
CUST00710,Medium,0.264601537,Low
CUST00711,High,0.440650451,Medium
CUST00712,Low,0.307927,Low
CUST00713,High,0.821484943,High
CUST00714,High,0.699885833,High
CUST00715,Low,0.2383239,Low
CUST00716,Medium,0.564035808,Medium
CUST00717,Low,0.680421977,High
CUST00718,Low,0.311004538,Low
CUST00719,Medium,0.155222266,Low
CUST00720,Low,0.204378927,Low
CUST00721,Medium,0.478556835,Medium
CUST00722,Low,0.438156244,Medium
CUST00723,Medium,0.418644084,Medium
CUST00724,Medium,0.666524577,High
CUST00725,High,0.417375057,Medium
CUST00726,Medium,0.260795614,Low
CUST00727,Medium,0.406282786,Medium
CUST00728,High,0.5099124,Medium
CUST00729,High,0.552604633,Medium
CUST00730,Low,0.165868223,Low
CUST00731,High,0.424498121,Medium
CUST00732,Low,0.306347255,Low
CUST00733,Low,0.217237577,Low
CUST00734,High,0.720182817,High
CUST00735,Medium,0.241377696,Low
CUST00736,Medium,0.470825584,Medium
CUST00737,Low,0.389945648,Medium
CUST00738,High,0.550272138,Medium
CUST00739,Low,0.310202254,Low
CUST00740,Medium,0.446542129,Medium
CUST00741,High,0.692575523,High
CUST00742,Medium,0.433155917,Medium
CUST00743,Low,0.478118794,Medium
CUST00744,Medium,0.596231782,Medium
CUST00745,Low,0.18948897,Low
CUST00746,Medium,0.373690793,Medium
CUST00747,High,0.579645628,Medium
CUST00748,Low,0.163237311,Low
CUST00749,Low,0.648132299,Medium
CUST00750,Medium,0.491525711,Medium
CUST00751,Low,0.709751305,High
CUST00752,Low,0.524640301,Medium
CUST00753,Low,0.141069786,Low
CUST00754,Low,0.247621167,Low
CUST00755,Medium,0.597730539,Medium
CUST00756,Medium,0.545806648,Medium
CUST00757,High,0.621203398,Medium
CUST00758,Medium,0.200761256,Low
CUST00759,High,0.429973369,Medium
CUST00760,Medium,0.449846571,Medium
CUST00761,High,0.569161511,Medium
CUST00762,High,0.392517726,Medium
CUST00763,High,0.765925141,High
CUST00764,Low,0.252873134,Low
CUST00765,Medium,0.236466168,Low
CUST00766,Low,0.208682142,Low
CUST00767,High,0.589730818,Medium
CUST00768,Low,0.357138663,Medium
CUST00769,Medium,0.432551387,Medium
CUST00770,Low,0.375339149,Medium
CUST00771,Low,0.256988544,Low
